"","eid","sex"
"1370",1013704,1
"1371",1013716,1
"1372",1013729,0
"1373",1013731,1
"1374",1013747,1
"1375",1013750,1
"1376",1013765,0
"1377",1013773,0
"1378",1013782,0
"1379",1013798,1
"1380",1013802,1
"1381",1013815,0
"1382",1013823,0
"1383",1013830,0
"1384",1013841,1
"1385",1013859,0
"1386",1013864,1
"1387",1013877,0
"1388",1013888,0
"1389",1013896,0
"1390",1013903,1
"1391",1013911,0
"1392",1013922,0
"1393",1013936,0
"1394",1013945,0
"1395",1013958,1
"1396",1013967,1
"1397",1013974,0
"1398",1013989,0
"1399",1013990,0
"1400",1014000,1
"1401",1014013,0
"1402",1014025,0
"1403",1014032,1
"1404",1014048,1
"1405",1014054,1
"1406",1014069,0
"1407",1014076,0
"1408",1014081,1
"1409",1014097,1
"1410",1014102,1
"1411",1014115,1
"1412",1014123,0
"1413",1014130,0
"1414",1014141,1
"1415",1014159,1
"1416",1014164,1
"1417",1014177,1
"1418",1014188,0
"1419",1014196,1
"1420",1014209,1
"1421",1014217,1
"1422",1014224,1
"1423",1014238,1
"1424",1014246,0
"1425",1014252,0
"1426",1014263,0
"1427",1014275,0
"1428",1014280,1
"1429",1014291,0
"1430",1014304,1
"1431",1014316,0
"1432",1014329,1
"1433",1014331,1
"1434",1014347,0
"1435",1014350,1
"1436",1014365,0
"1437",1014373,0
"1438",1014382,0
"1439",1014398,0
"1440",1014406,1
"1441",1014412,0
"1442",1014421,0
"1443",1014433,1
"1444",1014449,1
"1445",1014457,1
"1446",1014468,0
"1447",1014470,1
"1448",1014485,0
"1449",1014494,1
"1450",1014505,1
"1451",1014518,1
"1452",1014520,0
"1453",1014537,0
"1454",1014543,1
"1455",1014551,0
"1456",1014566,0
"1457",1014579,1
"1458",1014584,1
"1459",1014592,0
"1460",1014603,0
"1461",1014611,0
"1462",1014622,1
"1463",1014636,0
"1464",1014645,0
"1465",1014658,1
"1466",1014667,1
"1467",1014674,0
"1468",1014689,0
"1469",1014690,0
"1470",1014701,0
"1471",1014719,0
"1472",1014726,0
"1473",1014734,0
"1474",1014742,0
"1475",1014755,1
"1476",1014760,1
"1477",1014778,1
"1478",1014787,1
"1479",1014793,1
"1480",1014807,0
"1481",1014810,0
"1482",1014828,1
"1483",1014835,0
"1484",1014844,0
"1485",1014856,0
"1486",1014861,0
"1487",1014872,0
"1488",1014883,1
"1489",1014899,1
"1490",1014908,0
"1491",1014914,0
"1492",1014927,1
"1493",1014939,1
"1494",1014940,1
"1495",1014953,1
"1496",1014962,0
